5.433,3.7,1.67,5.25,48.853,0.78116
5.252,3.5,1.57,5.29,43.711,0.74241
5.183,5.6,1.22,4.94,31.848,0.72803
5.099,6.5,0.9,5.23,18.031,0.73189
5.17,7.6,0.96,4.72,12.471,0.72755
5.151,4,0.86,4.63,16.289,0.72173
5.277,4.6,0.77053,4.6139,19.968,0.67498
5.399,3.9,0.736,4.5301,19.509,0.61735
5.484,1.8,0.7,4.47,15.996,0.72561
5.599,3.1,0.62,4.55,8.556,0.76034
5.716,3.6,0.54,4.63,10.798,0.84715
5.724,3.3,0.56,3.87,19.583,0.6632
5.704,3.6,0.54,3.56,28.99,0.47933
5.63,4.3,0.48,3.94,30.161,0.48243
5.53,5,0.41,3.97,19.816,0.39609
5.51,5.4,0.33,4.64,9.101,0.46436
5.524,5,0.29,5.61,8.369,0.72028
5.517,4.7,0.26131,5.9864,18.237,0.53357
5.581,3.6,0.24024,5.8548,31.683,0.39609
5.645,4.3,0.23655,5.5658,25.594,0.58556
5.774,4.7,0.26,5.47,17.715,0.7664
5.939,4.4,0.3,5.67,8.133,0.79118
6.085,5.3,0.3,5.61,7.423,0.85866
6.221,5,0.3,5.22,17.152,0.98058
6.284,4.7,0.29,3.99,22.053,0.65856
6.255,3.5,0.28,4.77,30.525,0.40413
6.193,3,0.26,4.43,23.693,0.38458
6.169,3.4,0.23,4.98,15.055,0.40813
6.199,5.5,0.24,4.24,4.018,0.45995
6.256,5.6,0.2455,4.4544,10.613,0.59167
6.3,5.4,0.25,4.55,19.836,0.39878
6.364,7,0.26,3.6,25.233,0.3688
6.454,5.7,0.24,4.26,22.645,0.36256
6.575,5,0.23,3.72,12.188,0.37432
6.66,6.9,0.22481,4.403,4.473,0.41211
6.734,5.1,0.22,5.05,12.803,0.55331
6.746,5.4,0.22,4.5,24.868,0.42788
6.645,4.6,0.24,5.59,30.471,0.32208
6.52,7,0.28,5.2,31.373,0.30822
6.37,6,0.32,4.65,23.628,0.27384
6.329,4.6,0.32022,5.1571,8.423,0.24216
6.333,4.3,0.3,5.69,8.903,0.46436
6.364,4.6,0.3,5.05,22.725,0.32208
6.418,5.3,0.35,3.82,27.779,0.27687
6.48,4.3,0.38,3.87,23.906,0.32786
6.61,5.1,0.37,3.54,18.189,0.32208
6.767,4.9,0.42,3.38,7.878,0.29491
6.953,4.1,0.46,3.93,8.378,0.36256
7.118,4.4,0.45,4.08,21.853,0.37018
7.117,3.3,0.41,3.79,31.758,0.24842
7.036,5.1,0.42,4.16,34.719,0.23349
6.988,5.7,0.44045,3.8674,24.807,0.21994
6.909,7.7,0.46,3.78,16.997,0.15272
6.94,7.8,0.49,4.67,7.429,0.16974
6.967,8.2,0.53,4.74,10.588,0.28367
6.984,11.3,0.49,4.68,18.31,0.22793
6.985,11.7,0.41,4.75,23.952,0.25542
7.049,13.1,0.36,4.67,19.632,0.24764
7.112,13.9,0.38,4.88,9.279,0.22474
7.146,10.1,0.49,4.18,7.107,0.29192
7.19,10.8,0.76,3.7,20.844,0.3257
7.164,11.2,0.93,3.8,33.518,0.20212
6.961,11.5,1.1447,4.5503,33.656,0.22474
6.768,13.3,1.31,4.97,34.025,0.3001
6.612,15.2,1.36,4.55,26.636,0.37018
6.559,13,1.563,5.0101,19.803,0.47686
6.579,12.2,1.61,5.56,28.598,0.66166
6.545,11.8,1.36,5.38,21.243,0.58166
6.552,11.8,1.62,5.71,28.823,0.44212
6.745,13.1,1.9,5.65,28.967,0.49164
6.731,10.6,1.84,6.8,21.858,0.52295
6.827,10.8,1.97,5.86,30.894,0.54754
6.967,9,2.05,5.64,30.355,0.55561
7.204,8.6,1.86,5.41,37.936,0.59056
7.084,7,2.0734,5.6273,49.037,0.67447
6.998,6.3,2.16,5.89,61.207,0.78755
6.852,5.1,1.75,5.81,44.312,0.91509
6.783,5.7,1.86,5.98,39.842,0.88294
6.764,6.4,1.61,5.38,27.08,0.92782
6.647,7.3,1.59,5.47,22.593,0.92267
6.648,6.2,1.44,5.7,22.648,0.94624
6.732,5.9,1.38,5.71,23.457,0.91869
6.597,6.6,1.31,5.2,20.035,0.85824
6.62,8.9,1.37,5.97,21.858,0.88004
6.638,6.5,1.2792,6.2629,20.086,1.196
6.534,6.7,1.12,5.75,26.613,1.0239
6.409,10.5,1.07,5.01,41.513,0.92068
6.176,11.6,1.05,4.98,51.744,0.92426
5.851,10.2,0.81,4.9,42.858,0.81934
5.614,11.4,0.80332,4.6299,35.393,0.82286
5.411,11.4,0.87,4.43,17.684,0.79706
5.361,11.2,0.79,4.5,14.691,0.8096
5.343,11.6,0.84,4.7,25.132,0.59664
5.427,13.9,0.96623,4.8896,32.428,0.60322
5.555,11.1,1.1195,5.0408,33.877,0.67803
5.673,10.2,1.2843,5.1494,24.388,0.7154
5.851,9.1,1.4452,5.2113,19.454,0.76779
5.998,10.4,1.5867,5.2224,30.208,0.91027
6.151,10.8,1.6934,5.1787,29.657,0.80871
6.288,10.3,1.7496,5.0759,46.828,0.80781
6.301,9.6,1.74,4.91,64.558,0.85697
6.266,10.1,1.69,4.85,51.417,0.93059
6.262,7.3,1.69,5.27,38.279,0.95973
6.283,3.6,1.5665,5.2351,27.528,0.89364
6.328,4.3,1.41,5.19,20.406,0.84887
6.338,5.9,1.37,5.65,18.768,0.95089
6.39,5.7,1.44,5.8161,21.013,0.88087
6.349,6.1,1.46,5.57,20.849,0.95127
6.264,6.1,1.3124,5.1159,24.241,0.93962
6.273,9,1.17,4.87,20.256,1.0505
6.283,10.4,1.21,4.9,32.277,0.83638
6.19,7.7,1.24,4.41,40.16,0.82505
5.973,7.9,0.92,4.47,37.986,0.84027
5.732,8.5,0.81775,4.4274,32.704,0.81492
5.507,8.2,0.87,4.35,18.958,0.82986
5.487,7,0.84774,4.5387,14.413,0.95282
5.524,6.2,0.8,4.8,22.479,0.8211
5.603,8.6,0.81,4.87,33.243,0.76593
5.75,5.8,0.85,4.93,34.194,0.73621
5.857,8.3,0.94,5.45,30.455,0.72996
